name,description
Lean Culture,"<p>Lean startup is a startup methodology which aims to reduce the market risks and minimize capital requirements by adopting a combination of business-hypothesis-driven experimentation, iterative product releases, and validated learning.</p> 
<p>But while the lean startup methodology has become practically a gospel in the startup community, it is more honored&nbsp; in breach than in practice.</p> 
<p>Why is it so hard to be lean?</p> 
<p>Lean is humble; it requires admitting that you don't know your market as well as you imagine.</p> 
<p>Lean is frugal; it entails making do with less or even with virtually nothing.</p> 
<p>Lean is disciplined; it requires us to focus on areas that are not our natural forte.</p> 
<p>What can entrepreneurs do to foster a lean culture?</p> 
<p>1) Learn lean startup methodology.</p> 
<p>2) Practice lean startup methodology where you have control.</p> 
<p>3) Promote lean startup methodology outside your areas of control.</p> 
<p>Join us to explore the practice of lean startup methodology.</p>
<br>"
North Berkeley - Manjushri Lineage Buddhist Group,"<p><span>Hello and welcome,</span></p>
<p><span><span>We are a group of sincere, warm-hearted spiritual seekers in the Buddhist Mahayana and</span> <span>Vajrayana</span> <span>traditions</span></span><span>.This group is an opportunity for newcomers to Buddhism and established practitioners. Our wish is to make our lives meaningful and&nbsp;</span><span><span>unveil the limitless wisdom and compassion that is our fullest potential helping each other support the integration of the Buddha's teachings into our daily lives.</span></span></p>
<p><span>We have the great good fortune to be guided on our journey by Lama Namnang Mingjo Dorje Rinpoche, a very humble yet immensely accomplished yogi.</span> <span>We offer members opportunities to attend teachings, meditation groups, Buddhist movies and other fun, spiritually nourishing activities. There is never a charge for an event.&nbsp;</span></p>
<p><span>For more information about our Lama and our Center, please see our Website</span>&nbsp;<a href=""http://www.kadamessence.org/"">Kadam Essence</a></p>
<p><span><a href=""http://www.meetup.com/Oakland-Berkeley-Introduction-to-Buddhism-Meditation-Group/""></a></span></p>
<p><span>Sincerely,</span></p>
<p><span>Lisa, Karen, Ryan, Michelle</span></p>
<p><strong><span>Manjushri Lineage Buddha Dharma Center</span></strong></p>"
Connecting With Nature,"<p>Nature Connection Events - We evolved in communication with the natural world, our nervous systems need nature. In our modern world we often become separated from our connection to nature. Reconnecting with nature is reconnecting with our essence, regrounding us and rebalancing our nervous system. In this group we'll seek out unique ways of connecting with the natural world.</p>"
Healing House Events,"<p>Healing House Events is a gathering of seekers, healers, teachers, students, practitioners and the simply curious. From meditations to Reiki training, we bring a variety of experiences for the body, mind and spirit. Join us for classes to support the seasoned practitioner as well as those who are just beginning their spiritual journeys. Watch the calendar for for upcoming events and, if you have ideas or suggestions for something new or an improvement on existing events, please let us know.</p>
<p>Blessings!</p>
<p>Dr. Ayleen<br></p>"
Ananda Marin Meditation Meetup Group,"<p>Meetup with us to experience more joy, inner peace, calmness and energy in your life. The ancient techniques of yoga and meditation are explained in a practical, easy to understand way that helps both beginners and seasoned meditators go deeply within and experience positive results. Ananda Marin Meditation is open to anyone looking for meditation support, instruction and fellowship.</p>
<p>We practice teachings and techniques based on the teachings of Paramhansa Yogananda, http://www.ananda.org/ananda/yogananda.html and his direct disciple Swami Kriyananda. http://www.swamikriyananda.org/index-2.asp</p>
<p>We meet monthly for the Ananda Marin Meditation, that includes a short talk, instruction as needed, Energization Exercises, Chanting, Meditation and Healing Prayers in the tradition of Paramhansa Yogananda on Friday afternoons.We are looking to expand to other times as well.</p>
<p>These meetups are free. We set out a donation basket to help cover expenses. We appreciate the support of our community both in the form of donations and assisting with the meditation meetings (set up/breakdown, bringing flowers etc). We also offer group, semi-private and private yoga classes, taught by Nicole DeAvilla as well as Yoga Topics mini courses. See the calendar for more information. And we sponsor workshops with out of town guest speakers.</p>"
Exploring-Career-Business-Possibilities,"<p>Led by David Thiermann, career consultant for 30 years. David will talk with members about self-assessment, exploring career options, determining your focus, marketing yourself and ongoing career management. Everyone will leave with new ideas, new expectations, motivation to be more proactive and enthusiasm to move forward. Get inspired and excited. Sign up today for an enjoyable experience. Jokes are included....bring a joke and let's have fun. Please join me on Facebook and LinkedIn, and Google my name to learn more about me. If you can't attend my Meetup in person, you are welcome to call or text me anytime on my cell phone to talk about your needs or goals: 831-435-9321. Thanks, David</p>"
Modern Mystery School- Northern California HQ,"<p>This group is for those who which to bring Empowerment and Joy into their lives by utilizing sacred and ancient teachings that have been proven to work for over 3000 years in the unbroken Mystery School tradition that goes directly back to King Solomon the Wise! We hold meditation circles, teach Astral Travel, Sacred Geometry, Spiritual Intuition and Empower Thyself- which is an initiation into the Universal Brotherhood and Sisterhood of Light, overseen by the Hierarchy of Light. We are dedicated to you bolstering your own connection to Source and God which is your birthright! Weekly Community Guided Meditation every Tuesday night from 7:30-8:30.&nbsp; If you don't see many people signed up it is still on. We promote on facebook and in person so it may show 2 people coming when there may be 12 people :)</p>"
OneTaste San Francisco,"<p><img src=""https://secure.meetupstatic.com/photos/event/8/5/7/5/600_466114165.jpeg""></p>
<p><span>OneTaste is a wellness and lifestyle company providing courses and mindfulness practices, in particular Orgasmic Meditation, that improve wellbeing, focus, emotional intelligence, connection and fulfillment.&nbsp;Our mission is to help people reach their highest potential through living in a flow state, a state based in connection.</span><br></p>
<p><i><b>OneTaste San Francisco</b></i> is a group of &nbsp;fun, open-minded people who gather together to have honest conversations about having a richer life and we use the areas of relationship, sex, and intimacy. We are a lot of fun (our meet-ups are not scary!) so you don't have to worry.&nbsp; <br></p>
<p>Our MeetUp events are open to everyone and designed to introduce you to what's possible with a wider-spectrum understanding of Orgasm, our incredible community, and Orgasmic Meditation (OM). Orgasmic Meditation is a wellness practice (like yoga and pilates) that is designed for singles and couples to experience more connection, vitality, pleasure, and meaning in every aspect of their lives.&nbsp;</p>
<p>You can participate at whatever level feels good to you. We're excited to meet you! <br></p>
<p>If you have any questions, feel free to reach out to&nbsp; Michele (Meetup Organizer &amp; OM Expert)&nbsp; at (860) 301 0180 call or text!</p>
<p><br></p>"
Fun Spiritual Singles,"<p><span>Hello everyone and welcome!</span></p>
<p><span>I am so happy to be the new organizer for the ""Fun Spiritual Singles"" group in San Jose. &nbsp;Helene, the previous organizer (counselor, and teacher) has stepped down and has asked me to carry the torch for this group. &nbsp;I am honored (and excited) to take this on! Many thanks for all of her years of service here!</span></p>
<p><span>The intention of this group is well aligned with the many singles events and activities that I currently host so I think this is a very natural pairing. &nbsp;I am totally charged up to create some great new events together.</span></p>
<p><span><strong><span>Group Description</span></strong></span></p>
<p><span>Now is the time to have more fun and love in your life! &nbsp;J</span><span>oin our fun and profound group of healthy men and women who are interested in opening to more love, friends, successful relationships, spirituality. This is a fun and safe way to meet like-minded people.</span></p>
<p>Our gatherings are social and interactive, and sometimes even deep and moving. All of our activities offered here are designed to help you meet other spiritual singles. &nbsp;As a ""Love-Coach"" and Tantra teacher, &nbsp;<span>I have organized and facilitated many fun and profound singles meetings and social events, and I am excited to offer many new and creative events for this group.</span></p>
<p><span><strong><span>Spiritual Singles</span></strong></span></p>
<p>To me, spiritual people are much more&nbsp;accepting of others, they live in integrity, are kind and caring, and tell their truth in a loving and compassionate way. They believe in a divine source and honor all other people's beliefs.</p>
<p>I so look forward to meeting up with you! Please join our group, explore our upcoming events, and then come out and play!</p>
<p>I invite you to check out my website and learn about all of my other exciting events. www.divinekika.com</p>
<p>Many blessings,</p>
<p>Kika Alexsandra Marianetti</p>
<p>divinekika@gmail.com</p>
<p><span>PS.</span></p>
<p><span>Please contact Kika if you have ideas about future meetups, or if you know of good venues for us to meet. Ideally, venues should be low cost or free.</span></p>"
Holistic Wellness Professionals,"<p>Holistic Wellness Professionals is geared to promote and support you and your business. This meetup is not only for the providers, but for those in the community seeking your services and expertise. I encourage you to invite friends, family and your clients to participate in these meetups. The goal is to create a far reaching community where Holistic Wellness is available to everyone who needs it... and you know that IS everyone! For those in the outlying areas, we appreciate the extra time you devote to getting to Modesto. I am formulating a plan to add meetups to the Stockton and possibly Merced areas. This would be in conjunction or in addition to the monthly Modesto meetup. If you support this idea and would like to assist in planning for future growth send me your thoughts and ideas. ~ Julie</p>"
Drumming As Spiritual Practice,"<p>Connect with a primal and essential aspect of your spirituality through drumming! Rhythm is intrinsic to the world in which we live. Join us for an exploration of drumming as a spiritual practice.</p>
<p>No drumming experience necessary. We will have some drums on hand to use during the gathering, so no drum is necessary either. Your interest in drumming and a desire to nurture your spirit are all that are required!</p>
<p>We will meet every other Sunday evening at 7:30pm. This group is sponsored by the Table www.thetableberkeley.org.</p>"
SACRAMENTO VEGAN SOCIETY,"<p><img src=""https://secure.meetupstatic.com/photos/event/c/f/6/6/event_23153094.jpeg""></p>
<p>Even if you are not vegan yet, our main goal is to meet other kind, compassionate, and healthy seeking people monthly at various times of the the month for potlucks and/or presentations, speakers, educational DVDs. We also have monthly dine outs, fitness excursions, book clubs and any other ideas you have regarding health, animal welfare and earth sustainablilty. When we have potlucks or snacks, please bring a <strong><span>plant based or vegan dish or snack (no dairy or eggs)</span></strong> to our potlucks so that everyone can eat all the dishes. We do not want to include eggs, dairy, or meat as we do not want to contribute to the suffering or early death of egg laying chickens or dairy cows.&nbsp;</p>
<p><strong>THIS meetup group is for EVERYONE interested in becoming compassionate and healthy too. This is for YOU and we make this successful by joining here together to make our events successful! We NEED you to make our compassionate and healthy vegan movement move ahead!! Thank you for joining us no matter where you are on your path to a vegan lifestyle! Our cooking classes can help you transiiton to VEGAN!!! We look forward to meeting you!! WE ALSO APPRECIATE IT YOU COULD BRING OIL FREE SNACKS OR DISHES SO WE VEGANS CAN KEEP OUR HEARTS HEALTHY AND KEEP IDEAL BODY WEIGHT FOR HEALTH. (If you want to know why we omit added oils like olive oil, coconut oil, and all vegetable oils, please email me, Linda, at veganmentor@gmail.com).</strong></p>
<p><span>Our members care about their health, animal welfare and protection of the earth. It is free to sign up with us on Sac Vegan Society Meetup. If you can, we appreciate&nbsp;</span><span>donations</span><span>&nbsp;to help us keep our society thriving. You can donate by using veganmentor@gmail.com on paypal. Thank you for any amount!Please visit our website: <a href=""http://www.sacramentovegansociety.com"">www.sacramentovegansociety.com</a></span> <br></p>
<p>To email the Organizer: Linda Middlesworth: veganmentor@gmail.com</p>
<p>If you want to see a great short clip of why we all need to be vegan, please watch:</p>
<p><a href=""http://www.youtube.com/watch?v=8GrbYVsK7vs&amp;amp"">www.youtube.com/watch?v=8GrbYVsK7vs&amp;amp</a> -</p>"
Angel Light Meet Up Group,"<p>Welcome Lightworkers and Metaphysical People! Our Meetup Group is for the purpose of exploring a wide range of topics from Astrology to Zen. We'll also delve into such popular subjects as Law of Attraction, Angels, Crystals and Stones, Energy Healing, Psychic Development, Animal Communication, Feng Shui, Reiki and Numerology. Meet other like minded people in a harmonious, spiritual environment. We welcome you to join us and share your experience of self-discovery and personal growth""</p>"
SF Law of Attraction / Teachings of Abraham Study Group,"<p><strong>Our Exciting Team of LOA Hosts Are Here to Welcome and Inspire You!</strong>&nbsp;<span>Complimentary </span><em>Emotional Guidance Scales</em><span> available at every meeting.</span></p>
<p><strong>We currently have 3 Law of Attraction Hosts that successfully practice the Abraham Teachings, and truly enjoy showing others how it's done:</strong></p>
<p><strong>-</strong>&nbsp;On 2nd Thursdays, we have Hypnotherapist, Visionary Artist and Law of Attraction Coach&nbsp;<a href=""http://www.anchoredinspirit.com"">Wanda Whitaker</a>.</p>
<p><img src=""http://photos3.meetupstatic.com/photos/event/4/4/8/a/600_435137546.jpeg""></p>
<p><span> <br></span></p>
<p><span>-On 4th Thursdays, we have the creator of <a href=""http://www.ourwishradio.com/2011/03/futurespeaking-creator-summer-simonton-on-our-wish-radio/"">""Future Speaking""</a>, Artist and Law of Attraction Coach <a href=""https://plus.google.com/112363048376560800631/about"">Summer Simonton</a></span><span>.</span></p>
<p><img src=""http://photos1.meetupstatic.com/photos/event/4/3/3/f/600_435137215.jpeg""></p>
<p> <br></p>
<p>-On 5th Thursdays, we have &nbsp;Spiritual Alchemist and Law of Attraction Coach <a href=""http://interioralchemy.weebly.com"">DeeDee Freeman</a>.</p>
<p><img src=""http://photos1.meetupstatic.com/photos/event/4/4/6/7/600_435137511.jpeg""></p>
<p> <br></p>
<p>Between the three experienced coaches, you always get a fresh perspective and new tools to use in your own life. We encourage you to RSVP, even though many don't..... there's always a lively, interactive group in spite of what the ""RSVPs"" show.</p>
<p> <strong>We focus on</strong> applying ""The Emotional Guidance Scale"" to everything&nbsp; that we would like to be, do, or have! We listen to recordings by Esther Hicks, then discuss and practice the techniques learned<span>.&nbsp; This material is from workshops led by ""Abraham"", a group of non-physical entities channeled through Esther.</span></p>
<p>&nbsp;<strong>DAY-TIME-LOCATION-</strong><span> Celebrate LIFE! Progressive Spiritualist Community hosts an always upbeat group </span><strong>the 2nd, 4th and 5th Thursdays, 7:30-8:45pm,</strong><span> at 4530 18th Street, SF, CA 94114 (between Ord &amp; Douglas) If coming by car, allow time for parking. By Muni, the 33-Stanyan stops within one block, and the K, L, M &amp; T lines stop 5 blocks away at Castro Street Station.</span></p>
<p>&nbsp;<strong>LOVE OFFERING-</strong><span>&nbsp;The suggested donation is $10-20, but no one is turned away for lack of funds. Your donations can be tax-deductible if we have record of you providing it (i.e. check or envelope made to CLSC). Your generosity is appreciated! Thank you!</span></p>
<p><strong>RSVP</strong> not required, but is encouraged as it inspires others to come and gives them an idea of who will be there!</p>
<p><strong>Are you new to Abraham Hicks Law of Attraction?</strong> If you're new to this subject, you will find a free downloadable version of ""<em>Ask and It Is Given""</em>, by Esther Hicks in this group's ""file"" area (located under the ""more"" button in the navigation bar). We also offer some of Hicks' books for sale at less than retail prices, including ""<em>The Vortex"" and ""The Law of Attraction""</em>. More immediate exposure to these teachings can be found on YouTube by searching ""Abraham-Hicks"". Also See <a href=""http://www.Abraham-Hicks.com"">www.Abraham-Hicks.com</a>&nbsp; Hope you'll join us soon!</p>
<p><b>For today remember-&nbsp;</b></p>
<p><em>""Things that matter most, must never be at the mercy of things that matter least.""-</em>-Goethe</p>"
Empowered Goddess Group,<p>Conscious women supporting each other to find joy and bliss and live your best life yet. <br></p>
"I am Happy Project - Roseville, CA","<p>Happiness is a state of mind or feeling characterized by contentment, satisfaction, pleasure, or joy. Happiness comes from deep within, and not from people, situations, or circumstances.</p>
<p>According to Researchers from Harvard Medical School and the University of California, San Diego:</p>
<p>&ldquo;When an individual becomes happy, the network effect can be measured up to three degrees. One person&rsquo;s happiness triggers a chain reaction that benefits not only his friends, but his friends&rsquo; friends, and his friends&rsquo; friends&rsquo; friends. The effect lasts for up to one year.&rdquo;</p>
<p>Since whatever we focus on grows, the aim of this group is to help members focus on happiness and to spread it at every opportunity.</p>
<p>If you are a happy person and want to socialize and network with other happy people, this is for you. If your goal is to become a happier person this group is for you. If you want to contaminate others with your happiness, this group is definitely for you. Visit http://iamhappyproject.org for more information; while you are there please follow us on twitter and like us on Facebook.</p>"
Innerqiworks Healing Arts Center,"<p>We offer Reiki, Spring Forest Qigong (SFQ), Emotional Fredom Technique (EFT), Matrix Energetics, and Reconnection modalities.</p>
<p>Practice Groups</p>
<p>Private Sessions</p>
<p>Monthly&nbsp;Classes</p>
<p>For more details please look at&nbsp;the meetup calendar and visit&nbsp;my&nbsp;website at: <br /><a href=""http://www.innerqiworks.com"" target=""_blank""></a><a href=""http://www.innerqiworks.com"" target=""_blank""><a href=""http://www.innerqiworks.com"" title=""http://www.innerqiworks.com"" target=""_blank"">http://www.innerqiworks.com</a></a></p>
<p>Thank you so much!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
"I am Happy Project - San Jose, CA","<p>Happiness is a state of mind or feeling characterized by contentment, satisfaction, pleasure, or joy. Happiness comes from deep within, and not from people, situations, or circumstances.</p>
<p>According to Researchers from Harvard Medical School and the University of California, San Diego:</p>
<p>&ldquo;When an individual becomes happy, the network effect can be measured up to three degrees. One person&rsquo;s happiness triggers a chain reaction that benefits not only his friends, but his friends&rsquo; friends, and his friends&rsquo; friends&rsquo; friends. The effect lasts for up to one year.&rdquo;</p>
<p>Since whatever we focus on grows, the aim of this group is to help members focus on happiness and to spread it at every opportunity.</p>
<p>If you are a happy person and want to socialize and network with other happy people, this is for you. If your goal is to become a happier person this group is for you. If you want to contaminate others with your happiness, this group is definitely for you. Visit http://iamhappyproject.org for more information; while you are there please follow us on twitter and like us on Facebook.</p>"
Marin Meditation Meetup,"<p>Whether you are an experienced or novice meditator, join this group for meditation and conversation about how to keep the spirit strong. In a beautiful outer landscape, we explore the inner landscape of silence and share our insights on what helps to give our lives a spiritual focus. We also sponsor talks on methods and tools to enhance your meditation experience. Enjoy a talk by an experienced meditator, sharing &amp; conversation, and group meditation with a blend of spoken commentaries, instrumental music and silence. Open to people of all faiths and cultures. Meetups are on Tuesday evenings 7:00 - 8:30pm. You can find more information about the meetings in the About section.</p>"
Evolve YOUniversity,"<p style=""text-align : center""><span style=""font-size : medium""><strong>ATTENTION: </strong></span></p>
<p style=""text-align : center""><span style=""color : #808080""><span style=""font-size : medium""><strong>Small Business Owners, Entrepreneurs, Executives, Service Professionals</strong></span></span></p>
<p style=""text-align : center"">&nbsp;</p>
<p style=""text-align : center""><strong><span style=""font-size : medium"">""What goals would YOU like to finally achieve?""</span></strong></p>
<p style=""text-align : center""><span style=""font-size : small"">- Have Better Communication Skills with Friends, Family, Co-Workers .... Your BOSS??</span></p>
<p style=""text-align : center""><span style=""font-size : small"">- Achieve a dramatic increase in income - Without a dramatic increase in Work and Stress??</span></p>
<p style=""text-align : center""><span style=""font-size : small"">- Gain the ability to maintain an unshakable positive attitude - Regardless of the situation??</span></p>
<p style=""text-align : center""><span style=""font-size : small"">- Attract more money - Without having to compromise your values or integrity??</span></p>
<p style=""text-align : center""><span style=""font-size : small"">- Stay in balance - Emotionally, Spritually, Physically and FINANCIALLY??</span></p>
<p style=""text-align : center""><span style=""font-size : small"">Sound Impossible? Its Not.<br /></span></p>
<p><strong><br /></strong></p>
<p><span style=""font-size : small""><strong>Here's the FACTS ...</strong><br /></span></p>
<p><span style=""font-size : small"">YOU have the natural ability to achieve ALL of these objectives - <em>and more. </em></span></p>
<p><span style=""font-size : small"">But first you must STOP and accept that your present thoughts, feelings and actions need to change.<br /></span></p>
<p><span style=""font-size : small"">Isn't time to end the excuses, stop blaming others and <strong>FINALLY take control of your life</strong> - Without life controlling YOU? </span></p>
<p><span style=""font-size : small"">Isn't time to <strong>Evolve</strong>?<br /></span></p>
<p><span style=""font-size : small"">Introducing ...</span></p>
<p><span style=""font-size : medium""><strong><span style=""color : #888888"">The</span> <span style=""font-size : large"">Evolve YOUniversity</span> <span style=""color : #888888"">MeetUp</span></strong></span></p>
<p>This life changing personal development program will exceed the boundaries of any Mastermind, Small Business Marketing or Sales training group you have ever experienced.</p>
<p>Evolve U&rsquo;s Holistic Performance MashUp (HPM) synthesizes the very best personal/performance development methodologies and philosophies together with whole-personal (mind, body, emotion) development, delivering:</p>
<p>* the open, trusted professional sharing of a mastermind group</p>
<p>* the impact and resonance of breakthrough sessions</p>
<p>* the deep education of intensive educational curriculum</p>
<p>* the energy and focused-purpose of a retreat</p>
<p>* the consistency and follow through of personal training</p>
<p>* the staying power/recall of a true application-based education</p>
<p><strong><span style=""font-size : medium""><br /></span></strong></p>
<p><strong><span style=""font-size : medium"">NEW Classes will be forming shortly - stay tuned for more announcements!<br /></span></strong></p>
<p>Join today to receive the latest info and upcoming course curriculum.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
"I am Happy Project - Elk Grove, CA","<p>Happiness is a state of mind or feeling characterized by contentment, satisfaction, pleasure, or joy. Happiness comes from deep within, and not from people, situations, or circumstances.</p>
<p>According to Researchers from Harvard Medical School and the University of California, San Diego:</p>
<p>&ldquo;When an individual becomes happy, the network effect can be measured up to three degrees. One person&rsquo;s happiness triggers a chain reaction that benefits not only his friends, but his friends&rsquo; friends, and his friends&rsquo; friends&rsquo; friends. The effect lasts for up to one year.&rdquo;</p>
<p>Since whatever we focus on grows, the aim of this group is to help members focus on happiness and to spread it at every opportunity.</p>
<p>If you are a happy person and want to socialize and network with other happy people, this is for you. If your goal is to become a happier person this group is for you. If you want to contaminate others with your happiness, this group is definitely for you. Visit http://iamhappyproject.org for more information; while you are there please follow us on twitter and like us on Facebook.</p>"
"I am Happy Project - San Francisco, CA","<p>Happiness is a state of mind or feeling characterized by contentment, satisfaction, pleasure, or joy. Happiness comes from deep within, and not from people, situations, or circumstances.</p>
<p>According to Researchers from Harvard Medical School and the University of California, San Diego:</p>
<p>&ldquo;When an individual becomes happy, the network effect can be measured up to three degrees. One person&rsquo;s happiness triggers a chain reaction that benefits not only his friends, but his friends&rsquo; friends, and his friends&rsquo; friends&rsquo; friends. The effect lasts for up to one year.&rdquo;</p>
<p>Since whatever we focus on grows, the aim of this group is to help members focus on happiness and to spread it at every opportunity.</p>
<p>If you are a happy person and want to socialize and network with other happy people, this is for you. If your goal is to become a happier person this group is for you. If you want to contaminate others with your happiness, this group is definitely for you. Visit http://iamhappyproject.org for more information; while you are there please follow us on twitter and like us on Facebook.</p>"
Santa Cruz Meditation Group,"<p>Healthy minds dance for joy! Come celebrate and explore the experiences of a lifetime! Meditate, dance, shake, visualize , draw, and talk to keep your mind and body in good health. Find the skills that work for you! <br> <br>This is the place where you get to try out different experiences from the field of Mind-Body Medicine. Mind-Body Medicine is an up and coming integrative health perspective. It links our overall health to the connection between our mind and body. Most people talk about the benefits of Mind-Body Medicine as learning skills for good health. Its true benefit to you is having <span><strong>experiences</strong></span> which positively affect you. The experience of participating with this group will positively change your understanding. You won't know what you've been missing until you try it. Similar experiences improved my outlook on life a thousand fold! I am healthier than I've ever been, where it really counts! in my head! The impact of this positive change in my life and everyone around me has been astonishing. Care to be astonished? <br> <br>I wish I could say that meditation is the best way to start. Its how I started, its what I'm best at, and its how I got to be here. After seeing the experiences others have had by participating in Mind-Body exercises I have to say its not! Mind-Body exercises work faster and are more fun! Meditation is the purest mental exercise though and can become a wonderful part of your life as well. This group will engage you on many levels from dancing for joy to the deepest meditative experience. <br> <br>Yeh! <br> <br>Outside of being a genius with a passion for this stuff, who am I? Professionally I am a civil engineer with 19 years of experience. I've loved playing sports my whole life. I am very competitive and fair! I am not affiliated with any religion. Malyn, co-organizer, is my girlfriend, she works professionally as a pediatrician. In addition to our personal experience we have both received training through the Center of Mind Body Medicine in Washington DC. As I mentioned earlier, this training provides alternatives to meditation that can achieve similar results, sometimes even faster than meditation! <br> <br>Background <br> <br>Meditation is a label for many activities which are universal to humanity. Even the simple act of conversing with another person can be a meditative experience. Physical relaxation can also coincide with a meditative experience. When I talk about meditation it includes these types of introductory experiences and more advanced skills. I started this group because I've benefited enormously from meditating, and it all began unknowingly; I didn't know I was meditating! To be honest, I just wanted to be happy. I've discovered how to be happier, how to allow myself to be at my best without thinking about it. Everyone wants to know the answer, How? The secret is...this gritty stuff called emotions. Emotions are there to help us, not just some emotions, all of them. The more this is understood, the more beautiful life becomes. For many people, there are times emotions do not help, its these that can be transformed. Emotions are difficult to work with by their very nature. The group is intended to provide an environment to help you with these in the best possible way, have some fun, share some stories, relax, and also work through some of those emotions. Not me you might say? How can you afford the time? How can you not? What would you give to be happier every day for the rest of your life? I just wish I had figured this stuff out sooner! The goal is to create habitual positive experiences, as natural as brushing your teeth before you go to bed. The result? Living more beautifully with each passing day. <br> <br>Although I love to use positive words like happiness and beauty when thinking about this stuff, understand this isn't about focusing on being happy, to the detriment of your emotional range, sadness, anger, grief. Its about changing your perspective and experience of living, so that you experience the best possible emotion for the moment you are in. Its not about ignoring the past or the future but finding a way to understand them in new ways. Its by experiencing transformations of perspective personally that change happens. Again, the secret is not to study, but to experience. In this group, the goal is to have a range of transformational experiences, some will incrementally affect you almost without notice, others will be immediately life altering. There are mind-body exercises which can lead to instantaneous transformational experiences and these will be used to augment the core mediation. The point is to set time aside to develop skills for making life easier, fuller, with more happiness, calm, and resilience. <br> <br>Yeh! Again!</p>"
"Group for Depression, Anxiety and Stress","<p><span>Do you have anxiety, stress, depression, or had too many losses?</span><br></p>
<p>This group can help.</p>
<p>I've decided to start a meetup group in my area to meet more people and let them know about the drug-free ways in which they can overcome these often life crippling effects.</p>
<p>The purpose of our group is to help people to understand what is going on when they experience stress or anxiety or have a traumatic loss and how to overcome it without the use of prescription drugs. <br></p>
<p>If you are interested in handling depression, anxiety or stress for yourself or another and you don't want to see a psychiatrist or take medications then this is the group for you.</p>
<p>Call Tony at (916) 519-5287 for more information.</p>
<p>Member-to-member Connections:&nbsp; In all of our meetup events, the first hour is a class about self improvement, and then afterward the members will break into individual discussions about the specifics of their issues and situations.</p>
<p>Affiliation:&nbsp; I'm a Buddhist as well as a member of the Church of Scientology.&nbsp; I have searched various methods for solutions for my own difficulties and emotional issues, and finally the one place I've observed where people actually learned effective self improvement tools, and where people really changed their lives to the better, was the the local non-profit organization, the Church of Scientology. It is where I do volunteering work nowadays, and it is also where the meetups for this group will take place.</p>
<p>Activities:&nbsp; We'll have weekly meetup events where members can attend.&nbsp; The class part of the meetup events usually will be lectures about how to overcome traumatic experiences or how to better relationships. <br></p>
<p>Interests:&nbsp; We're interested in learning about self improvement, and receiving and giving support for each other.</p>
<p>Membership requirement:&nbsp; Members must be interested in self improvement and in taking actions to do something about ones' own conditions.</p>
<p>Intention:&nbsp; My intention is to provide support for people who would like to DO something about their depression, anxiety, or stress.&nbsp; My intention is NOT to have a group where members pity each other and then do nothing. <br></p>"
Zerocog,"<p>This MeetUp is to allow for social networking, to support entrepreneurs, &nbsp;provide education on tech and business. Attend our MeetUP events to get education and support for your self, business or organization.&nbsp;</p>
<p>We are now focusing on an entrepreneurial theme.</p>
<p>Come meet fellow entrepreneurs, and learn tips for success!</p>
<p><strong>Learn more about 0cognito at <a href=""http://www.0cog.com"">http://www.0cog.com</a></strong></p>
<p><strong>One of the core public activities is our Entrepreneur Support Group</strong></p>
<p>It is a support group for entrepreneurs. A place to discuss your recent success, and what your needs are. In particular, it has a focus on significant endeavors, such entrepreneurial activity and even personal goals. It has foundations of the mastermind theory presented by Napoleon Hill in 1937.<strong><br>

</strong></p>
<p><strong>Other activities</strong></p>
<p>To support the community with fund raising and educational programs.<strong><br>

</strong></p>"
Consciousness San Francisco,"<p><span><strong><span>WELCOME ENLIGHTENED EXPLORERS!&nbsp;&nbsp;</span></strong></span><span>We're all on a path of discovery, shedding emotional issues, and finding our true perfect selves once again.&nbsp;</span><strong>We exist at the same time. In the now of</strong><span>&nbsp;past present and future. </span><em>Yes! You are that <strong>BIG and expanded!</strong></em></p>
<p><span>All of these simultaneous experiences are carried in the higher self.....dreams give a little glimpse,&nbsp; often not remembering our dreams speaking to us.&nbsp; C</span><span><span>hoose joy with a greater </span>understanding<span>&nbsp;of who you are. Our sessions and events support and empower.&nbsp; B</span></span><span>ecome the powerful being that you already are.&nbsp;&nbsp;</span><em><strong>Become a SPONSOR&nbsp; and organizer so you can share YOUR upcoming events.&nbsp;&nbsp;</strong></em><em>&nbsp;Love, Judi and Jeff, your organizers.</em></p>"
UniQue ImAging Art & Photo Therapy Techniques of Northern CA,"<p>This group uses art &amp; photography in a unique way. This is the perfect group for anyone interested in a new and inovative way to have inner exploration.</p> 
<p>I am a Masters level professional who holds a dregree in Art Therapy. I have also been trained in Photo Therapy. I have over 6 years experience in both Art and Photo Therapy.</p> 
<p>Art Therapy is the use of art making to improve the mental, physical and emotional wellbeing of individuals of all ages. The creative process of making the artwork allows one to have self-expression. This can help to resolve inner conflicts, reduce stress, increase self-esteem, reduce depression, manage behaviors, and enhance memory.</p> 
<p>Photo Therapy is the use of photography as a means of theraputic healing. Through the use of photography one is able to discover a deeper self-awareness and learn coping mechanisms for the things in life that are stressful. Anyone interested in photography and learning about themselves would enjoy this unique view of photography.</p>"
