,meetup_0_description
325,"The DFW Patriot Meeting Link (formerly Tarrant Patriot Community Link) has been established to notify the Community of Local Conservative Political or Grassroots Meetings and Events in our DFW area.
You are welcome to post your meetings to let others know about your event/meeting. (to post your meeting you will need to contact me and I will make you an Assistant Organizer so you can 'schedule a meetup' and send an email to the group.
It is also a Group that is open to Discussions and Ideas .... a Place to Participate in Solutions. You can post your comments, ideas suggestions etc. by clicking the Tab=Discussions, then choose Message Board.
Saving our nation depends on everyone of us doing their part!  What is your part?  That is what you can decide - take the time to find where you can fit in and get involved with what others are doing - or start your own project/group or event and invite others!
 
Please help the grassroots effort, and tell others - Here's How:
Directions:
""You can invite folks you already know to join your group by clicking on 'More' and then on 'Promote.' Then, just click 'Invite friends to this Meetup Group.
'

From here, you have two choices. If you use one of the email providers displayed (Yahoo or Gmail), click on it to import your contacts directly from your email address.


Or, click 'Or, email friends directly' if you know your friends' email addresses to enter them directly. Type your friends' email addresses in the space provided, separated by commas, and compose your invitation below. Click 'Invite friends' to send out your invitation!""

 
God Bless the USA!
 
Cindy Carriger, Organizer
My other groups are:
And a Facebook Group about spreading the awareness of Smart Meter Dangers
A Website dedicated to the co-ordination and education of Texans to bring awareness of the dangers of Smart meters being deployed throughout Texas
"
333,"The Black Political Revival is a voter registration and political action group for Black Americans in Tarrant County. Our goal is to increase our participation and influence in the political process. As a significant percentage of the population, it is past time for our political power to be recognized and respected. There are many issues we must deal with, and the only way to do that is through the ballot. Whether it’s underemployment, underpaid, police brutality, excessive incarceration, or general political apathy among us, it is time for us to act to better our lives as a whole. This group is for men and women who are done being complacent when it comes to our politicians and are looking for a way to assert themselves. We are dedicated to increasing voter participation, political knowledge, and passion among Black Americans. This is a group for people who have felt themselves searching for a way to make a difference and have an impact. This is a group for people ready to act."
338,"Imagine real democracy: a responsive government of, by and for the people. We can have true representation, rather than governance by those with the most money. Learn how you can bring publicly financed political campaigns to Texas. Where is this already being done? How is it paid for? Just how does it work for the voter and for the candidate? You'll be surprised and excited with the answers to these questions. This is a non-partisan issue, since all citizens want to have a chance to be heard over the noise of those who pay for politicians. Bring a friend and find out more, while meeting other like-minded folks. Let's make our voices heard!"
341,"Looking for a fun group where you can discuss your liberal political views without fear of starting a fight? This is the place for you! We are women with strong opinions, a great sense of humor, and thirsting for some female interaction that reflects our progressive values. All faiths, agnostics and atheists welcome--as long as you are liberal! (Dues are optional. They help defray the costs of Meet-up expenses of $144 per year. If you are unable to pay, please don't let that stop you from joining). Check out our recurring luncheons, our Book Club, and the many one-time-only events posted by our leadership group and members."
342,"The purpose of the Texas Liberty Campaign Meetup will provide you with the networking and organizational tools to become actively involved in restoring our Republic as intended by the Declaration of Independence and the Constitution of the United States through the exercise of all our inherent individual rights as a free people in Texas.

The work of the Campaign for Liberty will take many forms.  We will educate our fellow Americans in freedom, sound money, non-interventionism, and free markets.  Politically, we'll expand the great work of our precinct leader program.  We'll make our presence felt at every level of government, where just a few people with our level of enthusiasm can make a world of difference.  We'll keep an eye on Congress and lobby against legislation that threatens us.  We'll identify and support political candidates who champion our great ideas!

We will be a permanent presence on the American political landscape.  That I promise you.  We're not about to let all this good work die.  To the contrary, with your help we're going to make it grow by leaps and bounds.

TRUTH, LIBERTY and JUSTICE for ALL!
God Bless America!
God Bless Texas!
God Have Mercy on Us All


Disclaimer: This is not an ""official"" group. Though many of the members were delegates to the Texas State Liberty Convention that adopted the statement of purpose, the outline of the bylaws, much of the platform, and the name, we recognize that we really have very little right to the name ""Texas Liberty Campaign."" However, we are proud of the name and will seek an official relationship with the Texas Liberty Campaign when that option becomes available."
344,Politically homeless? Come to a Denton County Libertarian Meetup to share your opinions on today's political climate and issues and learn what's new in the Libertarian movement. Anyone with an interest in advancing Liberty is welcome!
363,"Think you are the only liberal in Texas? You are not alone! Let's get together for lunch and share some intelligent conversation without getting into a fight. We are here to support one another and to maybe even give you the courage to speak out, because you know your girls have your back. (Casual attire, please. This is not a hats and gloves kind of group.)
Here's our official description:
Liberal Ladies Who Lunch(TM)
""Turning America blue, one plate at a time.""
Welcome to LLWL! We are a smart group of progressive women brought together to have fun, discuss current issues, and enjoy the association of women with similar values and world views. We are not an activist organization, but LLWL is a platform where activist organizations can propose action and draw volunteers. We give one another courage to speak our values in our daily lives, knowing we are one of many who share progressive ideals, and because of our unity, we often find more enthusiasm for taking action to right social injustice."
364,"Meet other local supporters of Barack Obama that believe in a United States of America that can the best that it can be!

Democrats UNITE!

Yes we can!  Si se puede!  Obama '08/'12

Obama's website:  www.BarackObama.com 

To volunteer:   www.BarackObama.com

To Donate:  www.BarackObama.com

To research the issues:  www.BarackObama.com
."
365,"We are a social club for admirers of Ayn Rand and her philosophy of Objectivism. We welcome long-time students of Objectivism as well as those who are new to her philosophy. Our goal is to discuss and learn how to apply the philosophy of Objectivism to the questions which pertain to our daily lives. We are open to political/intellectual activism, philosophical discussion, and social activities. But most of all, we want to have a good time doing it. Our goal is to have fun, meet new people, and check out cool places.


Make sure to look for us on Facebook at:

"
371,"This group represents an outreach of private members and supporters of the Christian Party of America, as well as its state and local affiliates, to those involved in campus life, both students and faculty. The Christian Party is an actual political party, which supports the Christian Constitutional foundation and interests of this nation. This outreach seeks to recruit, train, and mobilize Christian citizens on college campuses for the following purposes: (1) citizen education; (2) activism; (3) party building and development; and (4) the development of future leaders."
379,"An informal, inclusive liberal social group. Raise your spirits while you raise your glass, and share ideas while you share a pitcher. Drinking Liberally gives like minded, left-leaning individuals a place to talk politics. You don't need to be a policy expert and this isn't a book club - just come and learn from peers, trade jokes, vent frustration and hang out in an environment where it's not taboo to talk politics. Bars are democratic spaces - you talk to strangers, you share booths, you feel the bond of common ground. Bring democratic discourse to your local democratic space - build democracy one drink at a time. While drinking liberally, always remember to drink responsibly, and make liberal use of designated drivers. Drinking and driving is reckless and irresponsible, like a neocon war or corporatist tax cut. Liberals, don't do it. --quoted from the web site at "
382,"Our society is interested in Ayn Rand’s philosophy of Objectivism—the philosophy of reason.
Keenan is our local Assistant Organizer, who will manage just about everything locally for us. ""Old Toad"" is the lead Organizer for our society, who is also the lead Organizer for the North Texas Objectivist Society.
We are building an active Objectivist Society, including social gatherings, discussions, and Objectivist speakers.
As detailed on our About page, our society welcomes the membership of anyone who admires Ayn Rand’s works (e.g., Atlas Shrugged) and is constructively interested in Objectivism. Non-Objectivists are welcome. A member is welcome to bring friends, family, and children as guests to appropriate events.
Please read our About page for more information, including about our interest, our purposes, what we may offer, why we do it, who we welcome, and our participation terms.
 "
385,The Feminist Reading Group convenes two to three times a month at a coffee shop or restaurant somewhere inside the loop.   We read and discuss feminist texts.  Email janenguy2011@gmail.com for more information.
386,"We're a group of liberal friends who meetup once a week on Thursdays to hang out and chat about current events, politics, and culture in a safe and welcoming environment. While there are activists who attend our events and find the community valuable, we specifically do not take positions or engage as a group in political activities. We are a social group. We try to choose happy hour locations that offer a wide variety of both alcoholic and non-alcoholic beverages as well as healthy food.  In addition to the Thursday happy hours, we often schedule parties, social outings, volunteer opportunities, and other fun events on weekends. All are posted on both Facebook and Meetup with RSVP's gathered from both sites.  Please join us on Facebook as well as Meetup to participate in the between-event discussions. We hope to see you soon!"
387,Our goal is to keep Democrats in the Sharpstown area informed and motivated to elect candidates of the Democratic Party. We typically meet on the 4th Saturday at Bayland Park Community Center in southwest Houston.
389,"The purpose of this Meetup group is to schedule meetings and events for Libertarians in the Houston metropolitian area.  Because moderation is used to ensure that messages are  relevant to those purposes, email traffic is light.  Join us in working to make the LPT a serious political party running serious candidates in serious races. HCLP website: "
391,www.now.org and on our chapter facebook page at 
393,"Think you are the only liberal in Texas? You are not alone! Let's get together for lunch and share some intelligent conversation without getting into a fight. We are here to support one another and to maybe even give you the courage to speak out, because you know your girls have your back. (Casual attire, please. This is not a hats and gloves kind of group.)"
396,"Would you like to be around a like-minded, freedom-minded community? Do you identify with, study or support any of the following?:
- Libertarianism- Christian Reconstructionist- Presuppositional Apologetics- Ron Paul- Mises Institute- Pro free market- Alex Jones- Authors: Kent Hovind, Gary North, Greg Bahnsen, Rushdoony, John Taylor Gatto, Joel McDurman, Thomas Woods- Pastors Chuck Baldwin, Jeff Durbin, Paul Washer, Vodie Baucham- Apologia Radio- Anti-Evolutionist / Pro Creationist- Anti forced government socialist ""public"" schooling (indoctrination) / Pro homeschooling
We have a weekly home bible study for freedom loving people. Come on by even if you're not familiar with the above and want to learn more. Working to grow a freedom minded and kingdom driven community.
We meet Wednesday night at 7:30.Address is 23935 English Oaks Dr., Spring, TX 77373
We cook or grill some good food, have conversation and Bible study. Dean 281-706-3686Mark 832-277-2266"
397,"Mission statement: The Spring Democratic Club shall be a social and grassroots organization. The organization will have the following objectives: - To identify, promote, and elect public servants who practice democratic principles. - To promote and support public policy decisions guided by honest, open debate. - To ensure the Democratic Party continues its historic role promoting social justice and the needs of all people. - To facilitate communication among voters on the local level. - To raise awareness of the club and attract new members.
Sign up for our email list here: "
399,"We are Democrats and Progressives of Montgomery County and the surronding area. Our intention is to unite together to put Democrats and Progressives in local, state and national office. UNITE TO TAKE BACK AMERICA! Unite locally. Join us."
402,"This is a meet up group for people interested in learning about the American Solidarity Party, a new(ish) third party in American politics. We will be meeting to organize for a write-in campaign for our as yet to be chosen Presidential nominee in 2016, and setting ourselves up for 2018. Our goal is to grow a party founded on the principles of the Christian Democratic movement, and offer the electorate of Harris County a choice for Common Good, Common Ground, and Common Sense.
"
403,"This group is for anyone who believes in limiting the scope of federal government to the US Constitution, promoting more personal liberty and responsibility, and supporting political candidates who hold these same values. It is OK if you don't yet have your mind made up or if you have questions."
407,"In our society, we are inundated with information: text messages, “tweets”, commercials, sound bites, etc. Sadly, with all of this information, there is very little knowledge. Today, if you were to stop and ask someone questions like:

What form of government do we have?
Can you explain the difference between the national debt and the deficit?
In our current monetary system, do you think it is better to have our current fiat system or was the classical gold standard better?
What is the role of the U.S. Constitution? The State Constitutions?
Does our trade deficit hurt us in the global market?
Can you explain the political relationship between the Federal Government and the State Governments?

You will probably be met with blank stares, a shrug of the shoulders, or an “I don’t know”. Questions like these can sound hard, scary or maybe even boring but, knowing the answers to things like this are critical to understand the things that are affecting your life. They:

Affect the prices you pay in the supermarket, for a car and most everything else you buy
Can determine how you are allowed to raise your children
Can affect the price of your utilities or who you are allowed to purchase from
And on and on…

They are also critical in being able to make an informed opinion on the candidates we select to represent us in office and the legislation that is passed. In our society, politics has been boiled down to a sports like mentality. People pick either a Democrat or a Republican and then cheer their “team” in the elections. This, sadly, is the problem with the direction of our nation. People no longer seek knowledge or have political discussions beyond typical partisan talking points.
That is why “Wake Up And Smell The Freedom” was started. To give people an environment to openly ask questions and discuss without having to feel silly, ashamed, or embarrassed. We try to make the environment as friendly and laid back as possible and our discussions are topic driven not partisan. Many people are surprised that the answers too many of the questions above and many other questions are really not that difficult if you have just some basic understandings. So, come join us and make some great friends along the way as we journey down the path of knowledge."
408,Young Americans of Liberty - a chance to hang out and meet a few like minded people before the event this weekend.
412,"The Houston Area Liberty Campaign was organized to promote and defend the United States of America's founding principles of individual liberty and constitutional government by means of education, political action, and community outreach. 

Apologists of the U.S. Constitution from all around the Houston area have accomplished great things from the “meetup” group formed over a year ago. We have recently established by-laws, officers, and Action Groups. Go to the Files link to view our complete by-laws. 

Our vision is to provide a variety of forums in which Liberty-Minded individuals can share ideas, participate, and socialize, all with the expressed purpose of continuing and extending the cause of Freedom and Constitutional awareness.  In addition to our regular meetings, normally held the third Saturday of each month, we host a variety of political, educational, and social events and activities. If you want a great place for discussion, feel free to join our “Discussion Group” at "
413,"The purpose of this group is to provide a meeting place for residents of Brazoria county and the surrounding areas who support Ron Paul's Campaign for Liberty. 

The mission of the Campaign for Liberty is to promote and defend the great American principles of individual liberty, constitutional government, sound money, free markets, and a noninterventionist foreign policy, by means of educational and political activity. 

Please visit  for more information."
418,"We are a group of like minded concerned citizens who stand for Limited Government, Fiscal Responsibility and Free Markets. Our goal is to educate and empower people to become involved in the business of America!
Each member is the core of the TEA Party! We work together to restore our nation's founding principles! 
We must stop this out of control government at every level! 
Ronald Reagan said, ""This is the issue... Whether we believe in our capacity for self-government or whether we abandon the American revolution and confess that a little intellectual elite in a far-distant capital can plan our lives for us better than we can plan them ourselves.
You and I are told increasingly that we have to choose between a left or right, but I would like to suggest that there is no such thing as a left or right. There is only an up or down--up to a man's age-old dream, the ultimate in individual freedom consistent with law and order--or down to the ant heap totalitarianism, and regardless of their sincerity, their humanitarian motives, those who would trade our freedom for security have embarked on this downward course.""
Please join us to fight to retain the right to govern ourselves!"
419,Most can agree that the United States has lost its way. Only by educating ourselves and then becoming involved can we hope to restore our republic.
420,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.
WHAT YOU CAN DO - Join this group now - Schedule one of our Meetup ideas in your neighborhood - Discuss your own Meetup ideas in the group conversation
OUR COMMUNITY GUIDELINES - Be Peaceful - Be Safe - Be Kind - Be Respectful - Be Real"
421,"Democrats making our community a better place to live, work and raise our families. We provide information and shared goals that are the backbone of America - join us to further our goals for a better and stronger country, state, county and community. Visit with us and share your plans to improve your home in Brazos County."
422,"We are a group of independently-thinking, Democratic women who strive to make a difference in the Brenham area. We aim to foster a greater understanding of differing political opinions through improving activism, collaboration, and effective communication in our community.  "
423,"We seek to advance libertarian principles through political action in Brazos County, Texas."
