,meetup_0_description
709,
719,"Welcome! This group is for progressive activists in Lake Forest, Mission Viejo, Rancho Santa Margarita, Las Flores, Coto de Caza, Foothill Ranch, Dove Canyon, Trabuco Canyon, and Ladera Ranch. We are joining with others in the nation, in California, in OC, and in the 45th Congressional District to change Congress in 2018 (and beyond) and to defeat the horrible Trump agenda!"
722,"Canyon Democrats come from the communities of Trabuco, Santiago, Silverado, Modjeska and Dove Canyons, Foothill Ranch, Ranch Santa Margarita, Coto de Caza, Ladera Ranch, Laguna Hills, Lake Forest, Mission Viejo and others.We meet to advance the goals of the Democratic Party through public policy and political analysis, education, fundraising, voter registration, coordination with other Democratic groups, campaigning and other activities to benefit the Democratic Party. And we have fun together!Meet other Democrats who live in your community. You will be surprised at how many of us there are here in South Orange County!We invite you to attend one of our meetings on the third Tuesday of the month (unless otherwise noted) starting at 7:00pm at the Norman Murray Community Center, 24932 Veterans Way, Mission Viejo"
723,"We are going local! Do you believe our democracy begins with local issues and city government?Would you like to get informed, engaged and empowered by meeting local elected officials, issue experts, aspiring candidates and your neighbors in table-talk discussions and issue based activism?
If you are, then we invite you to join our club and/or attend our guest speakers 6 pm, on the 3rd Wednesday of every month at the San Juan Capistrano Community Center 25925 Camino de Avion, San Juan Capistrano 92675.RSVP on our ActBlue page at our website southcountydemocrats.org
We welcome all CIVIL and progressive perspectives to participate in building understanding and community for American values and principles. So if you are also interested in creating changes in the direction of America, and are committed in demanding a congress that truly works for the people, then come together in principled conversations to unite for our common good."
724,"The purpose of the Rand Paul Meetup Topic is to facilitate grassroots campaign organizing. This Meetup topic will provide you with the networking and organizational tools to become actively involved in Congressman Rand Paul's 2016 presidential campaign in your local area as well as other related libertarian, conservative and Tea Party causes."
725,"Welcome to CRY-Orange County (Child Rights and You:  
Instagram: "
726,"We are going to teach the fundamentals of shooting a firearm, managing recoil, and proper gun grip. Learn how to shoot accurately and get bulls eyes! We will get started from 6pm - 9pm on Friday, December 1st. There will be free pizza and drinks!"
727,"Can you identify a major, vexing, obvious, easy to solve problem in your society or community? Do you view its resolution as straightforward and highly beneficial? Are you ever amazed at the roadblocks you face as you defend your position?

Your arguments simple and plain, aren’t they?
Your opponents don’t get it and you often wonder why, don’t you?
Your opponents come up with arguments so poor that you can immediately dismiss them, right?
Also, you would be willing to change your mind if you encountered a compelling reason to do so, wouldn’t you?

Would you now care to go through your difficulties with institutions, especially governmental ones?

They could be much more helpful, couldn’t they?
Some even appear to be defending the wrong side of the issue, peddling invalid arguments from a bully pulpit.
Even elected officials and political candidates friendly to your side will soft-peddle the issue for personal reasons—like fear of the voters—rather than courageously educating the public. They may even urge you to drum up grassroots support before they dare come out of their closet—flattering your ego and assigning you another burden .

Let us assume, for a moment, that these institutions did their job, boldly working to serve the public. Evidently, they promptly would:

notice that this issue produces emotional conflicts and resentment among many people
perceive this situation as a problem
add it to their to-do list
let the public know that they are aware of the conflict
make plans to work on it

As they would get to it, they would tackle the controversy:

They would invite the public to formulate their grievances.
As you would personally respond, they would: 

welcome your comments
thank you for them
prod you with some clarification questions
ask you for the leaders or experts you would trust regarding this matter
promise to contact them should enough people recognize their leadership and expertise like you do


They would compile and summarize the information they would get, from all sides of the wedge issue.
They would contact leaders and experts in all relevant fields.
They would look for some solution that would satisfy most people.
The result, from your perspective, would probably be favorable : they would agree with you or surprise you with some original idea that would convince you to alter your position.
In the worst case, they would persuade your friends but not you, leaving you in the uncomfortable position of being “right and isolated.""
Even in this unfavorable case, considering that there are very few people in your situation, they may do you some favor to compensate for your legitimate discomfort.

Evidently, governments and other institutions do not deal with your most vexing political problem in this fashion. Why would that be?

Could they be ignorant? Have they not noticed the controversy? In view of your activism, it is unlikely.
Could they be incapable of dealing with the problem? Yet, as we just observed, it is not difficult.
Could they be aware of the problem but unwilling to confront it? This is a serious accusation , but in light of the above, it would be an error to summarily discard its possibility.

If they indeed understood the problem but had no will to solve it, would it be possible to prove it?

Could they perhaps knowingly ignore other issues too?
Would they be that corrupt?
Could this be demonstrated?

Would there be one issue that would expose their hypocrisy in a way that would exclude lack of knowledge or resources and that would be straightforward for people to understand? This may be key to resolving your problem.
It so happens that there is such an issue. You now stand in front of its proverbial rabbit hole . Once you have explored it, the problem that brought you here will appear to you as child’s play and you will realize why you naïvely thought that what has caused you so much grief would have been institutional indifference or opposition. It is less a matter of random incompetence or negligence than of intelligent design.
Would you find ten minutes to probe further? Be 9/11 Truth’s guest!
Love,
Dan Noël
August 31, 2011"
728,"A group of politically engaged residents of central Orange County, bound by and committed to the Constitution and the governing principles that have enabled America to do the most good for the most people of any society in history"
732,"Our purpose is to resist the unpatriotic and offensive policies and programs of Donald Trump, and to work toward the election of new members to Congress in 2018. "
740,"The Left Bank gathers people who share a love for wilderness, music and progressive thought. We organize a variety of activities such as hiking and camping in Southern California, acoustic music jams, drum circles, coffee breaks (somewhat reminiscent of ""Rive Gauche"" café life in Paris), movies, concerts, parties, political and environmental activism, therapy exchange, workshops and lectures.  The Left Bank is a refuge for grassroots progressives, liberals, socialists, anarchists and environmentalists from Southern California and beyond who wish to enjoy nature, celebrate life, expand peace, and engage themselves in social justice activism, locally and globally.  We are also a registered student association at California State University Fullerton. Our ""World Workshops"" series gathers faculty, students, artists, speakers and community members to discuss contemporary global issues. We occasionally join other like-minded events in the area.  Membership and events are FREE and FUN!
Website: 
Facebook:   
"
746,"This group is strictly for Democrat Women.
We can change it later to add men if we choose as a group. ? Some of us have lost long time friends as a result of the current election and our polar opposite views. I'm starting this group to meet other people in my area that are wanting a group of like minded women who want to go have fun together. Dinner/drinks, dancing, bunco parties, beach outings, music concerts, comedy clubs. What do you want to do? Let's get together and have a good time!
Let's talk and plan our first function! It should be cost effective and fun for all."
747,"OK I just took over the group, but the point is to make this fun. Republicans need to be able to meet and speak freely in a BLUE state. So this meetup is a great place for that. We can start with Happy Hours once a month. 
As things progress, we can do weekend events, meet, mingle, bowl, picnic, see movies, BBQ, or host game nights at somebody's home. The point is that we'll have a unified group to socialize with where we're all on the same page. 
I have other groups I manage and they are difficult some days, like walking on egg shells because when someone starts spouting off about how much they hate Trump, people take sides. Then the activity based group becomes politically charged and difficult. So by having a group where we're all pointed in the same direction, there's less stress about politics, which at this point is in the forefront of our thoughts as mature adults. 
So send me messages if you have a Club House with a pool or a nice place to entertain folks on the weekend. It will probably be on Saturday afternoons in all honesty. That's when we all have time to RELAX. 
We'll use the message board for important notifications like jobs, or needed general announcements that need visibility. I do marketing for small businesses, but I hesitate to push that unless someone really needs help increasing their revenues 30%. For the most part, I just want to create a unified social environment. 
I wish this state was RED. I've lived in Denver, New Jersey, New York, Indianapolis, Arizona and this is my home state. I've always been very conservative. Even in college I felt like I had a stick up my ass. But I tried to keep an open mind. As I get older, I find my mind is still open but I'm deeply republican. 
If anyone needs help, I'm the first one to volunteer my expert assistance free of charge. I'm an MBA with experience in manufacturing, service, B2G, B2B, B2C, banking, licensing, e-commerce, and e-marketing. I have a service I can ask legal questions on your behalf too, confidentially. So let me know if you need help. I keep everything confidential. Nobody needs to, or will ever know. A good decision is priceless and I have examples nationwide to share with you in several verticals. 
So let's stick together and help stay unified. I'm on facebook in several of the Trump Groups. 
Best regards,
Team Leader "
750,"Open to all Liberals, Progressives, Independents! Solo singles, Dating Couples, Married couples, and all sexual preferences--WHO VOTE DEMOCRATIC 4 CLIMATE AND NEVER TRUMP!
We  usually meet the 1st Fri monthly for Happy hour.  Make new friends and/or get involved by volunteering for the Environment!. Bring a friend or make new ones!  
IN ADDITION TO FIRST FRIDAYS, WE HAVE MANY OTHER ACTIVITIES AND VOLUNTEER/POLITICAL OPPORTUNITIES TO GET INVOLVED!  Help needs tbd
QUESTIONS? E mail founder, Lori Dem  (""Le Dem"")
at Ldeme10@yahoo.com
 
Twitter: @LoriDem2   "
751,"We are Liberty Lovers.  This meetup group represents the local arm of the national Libertarian Party. Our mission is to advance Libertarian principles in county and city legislation and to elect Libertarian candidates to office. Meetup members are welcome to attend both business meetings and social events. Consider, also, joining the LPVC, registering to vote as a Libertarian, or running for office as a Libertarian. You're invited to visit us at our website www.lpvc.org or facebook page: Ventura County Libertarians. "
755,"Hello and welcome!  
Thank you for your interest in this Meetup. It is open to anyone interested in learning, reading, and having conversations about feminism and gender equality. The goal is to read feminist authors and their classic texts and have interesting and thoughtful conversations with others about them! 
We meet on the second Thursday of every month from 6:30p-8:00p at the 5 Dollar and Under Bookstore (2880-A Cochran Street, Simi Valley, CA 93063). For those of us who want to carry on longer, we then head over to Starbucks across the street (2991 Cochran Street, Simi Valley, CA 93063).
Our format: We alternate between classic and modern feminist books each month and have rotating leaders guide each discussion. The leader chooses how to lead the discussion, usually with some suggested further reading, discussion questions, etc. (which will often be posted in the meetup description beforehand). We choose the books as a group at the end of our meetups and aim to do so a couple months in advance to give everyone a chance to plan their reading. 
I hope we may learn from the books as well as each other while building a community of like-minded folks. If you want to attend a meetup and haven't yet read or finished the book, please feel free to show up anyway and participate in the conversation!
I am thrilled and honored to have the opportunity to experience these important and exciting books with all of you! 
Priscilla 



"
764,"This group is being put together for the purpose of making Bakersfield a better and safer place to live. If you are interested in taking a PRO-ACTIVE ROLE in building an alternate revenue source to replace local taxes, creating new jobs by starting new businesses, or lowering the crime rate than this is the group for you. 
  Introduction: 
  My name is Nathan Nemnich, I am a 63-year-old USMC Vietnam era vet. I was one of the twenty-five individuals that ran for the Mayors seat last year, I was the only person running with a plan to make Bakersfield a better place to live by building from the ground up a local organization dedicated to making the money needed to replace taxes, start new businesses to create new jobs, lower the crime rate, and I came in last.
I have presented the plan to our new Mayor and City Council, pointing out that by creating an alternative source of revenue they could, in time, eliminate the need to rely on local taxes to run the city. Neither the Mayor nor anyone on the City Council were interested in lowering taxes. What makes it worse is the fact that I went to our local media and they were not interested either. Our local media said that someone with a plan that could, in time, eliminate local taxes was NOT NEWS WORTHY.    
Now I am asking the people of Bakersfield for help, starting with this meet up group.
I fully admit that I am not a businessman, I desperately need individuals with business skills, computer skills, and fund raising skills just to get started.
I need people with the ability to do what our local politicians can’t do, “THINK OUTSIDE THE BOX”, and wish to turn a cause into a career. At the present time, I only have access to a computer on weekends, so in the beginning please be patient with me. Anyone with organizational skills like, computer techs (white hats preferred) for site development and social media, business and office persons, attorneys (business, tax, and patent), and CPA’s are needed just to get this ball rolling. The group has no funds so volunteers with skills willing to take charge are needed.
The key phrase in this group is, PRO-ACTIVE ROLE, so if you want to help change the future of Bakersfield join up and let me know what kind of skills you have and how you can help. 
JOIN ME AND HELP CHANGE THE FUTURE OF BAKERSFIELD. 
 "
770,"Hello All,
I've lived in the Antelope Valley for nearly 20 years and I love it. However, there are events occurring in Washington D.C. that can affect us all, and it has me deeply concerned. Which is one of the reasons why I have decided to run for U.S. Representative of the 23rd District of California.
I don't claim to have all the answers, but what I do know, is that we deserve better representation. With that in mind I would like to earn your support.
As a first time candidate for political office I would like to talk to as many concerned residents in the 23rd District as possible. The area covers West Lancaster, Quartz Hill, Gorman, Bakersfield, and Tulare. Please join me face-to-face among other progressive minded residents and let's talk about the issues that concern you and your family the most. As neighbors we are all in this together. We must make it work.
I know this may be short notice which is why I have chosen a very informal setting. However, if you can't make it today, please connect with me on social media to be notified of my next ""Meet & Greet"""
792,"We Are Change is a citizens based grassroots peace and equal justice movement working to reveal the truth behind the events of September 11th, as well as the lies of the government and corporate elite who remain suspect in this crime. In addition, we are here to aid the sick and dying first responders through fundraising and social outreach programs in order to promote awareness of those who suffer from physical, emotional, and psychological traumas they received in the aftermath of 9-11. We also seek to meet other local citizens who are interested in educating the public while engaging in peaceful demonstration about the pertinent issues that are affecting our lives each and every day. Furthermore, We Are Change is a nonpartisan independent media organization comprised of patriot journalists working to hold those engaging in activities that do not represent the wishes of “We the People” - by asking the hard questions that the controlled mainstream media refuses to do.
 
We Are Change has arisen from the remnants of our republic to fill the vacancy left by those who swore to preserve, protect and defend The Constitution against all enemies – foreign and domestic. We seek to expose the fraud of the left/right paradigm and reveal that the world truly functions on a top/down hierarchy that threatens to destroy free society as we know it. We Are Change works to educate, motivate, and activate those striving to uncover the truth behind the private banking cartel of the military industrial complex that is directing the majority of U.S. policy, and that is actively seeking to eliminate national sovereignty and replace it with a ""one world order."" We will also continue to move in a direction that reconnects “We the People” to our nations founding principles laid out in the Constitution and the Bill of Rights.
 
We Are Change also seek an uncompromising and independent investigation into the crimes of 9-11, with subpoena power granted to obtain a long-overdue resolution for the survivors and families of the deceased. We reject the official explanation of the events leading up to, during and after the attacks of September 11th, 2001 as well as the fear-based politics and state mandated propaganda being disseminated by the Corporate Media which has facilitated the cover-up of 9-11.
 
As we establish citizens groups throughout the country and world, we wish to inspire a community of truth-seekers and peacemakers through creative campaigns with a commitment of nonviolence. We Are Change is not so much a group but an idea, an idea that “We the People"" are the vehicles of these ""ideas"" and of the freedoms, liberties, and truths we are seeking all across the globe. An idea that captures the spirits of our forefathers who just desired freedom; that together, as residents of this planet, we grow like a snowball of truth and justice rolling down a mountain of tyranny growing bigger and stronger, recognizing the beauty in our differences and the diverseness of each other, but at the same time strengthening our cause because we learn and grow from each others individuality. Then as we learn to come together, that as one, you, me, him, her, us…will realize that WE ARE CHANGE.
 
Subscribe to the WeAreChange Fresno YouTube channel:

 

 

 

 

 

 

 

 

 
Fuck off government!

 
 
 
 
 
 "
793,"This is for anyone who is interested in recreational and defensive pistol shooting. 
The club is located at:
 5151 N. Gates
Fresno, CA 93722 (Behind Costco, Cross streets Shaw and Blythe) 
Shooting is available every day. Range is available for individuals and groups. (Corporate, Church, Private Personal Events, and Education Institutions.)  
 "
794,"This Meet-up group will serve as a gathering point for local Libertarians in Fresno County.
 Madera, Tulare, Kings, Mariposa amd Merced Libertarians are welcome.
We'll use this group to help organize Party activities in the Central Valley area.
To do list:
   1. Register & vote Libertarian.
   2. Join and become a member of the Party.
   3. Get active to monitor events in your area.  
   4. As a Meet-up Group, form alliances with tech meet-up groups and other groups. 
    5. Seek to co-sponsor community wide political debates and discussions between disparate organizations and viewpoints, such as, for example:
- a simultaneous tri-lateral debate between the Libertarians and the NAACP and the Tea Party, and publicizing those types of events to the community of Fresno County, and beyond, trying to get them televised like TED talks.  
  6. Seek out sponsoring known guest speakers, to speak on the political issues of liberty.  
  7. Misc. - items as suggested by the membership. 
 "
797,"The FCDWC DIA Office @Democratic Party Headquarters (Fresno) is a volunteer office for area activists with the Fresno County Democratic Women's Club, the County Democratic Central Committee and the State and National Democratic Parties. If you wish to become a FCDWC DIA Office volunteer with our local year round grassroots service office please contact us at:
DIA Office Address:  1035 U Street  Fresno, CA 93721
Phone: 559-486-5422 

"
800,"Are you feeling depressed, confused, helpless, and would like to be able to share your thoughts and feelings regarding the election results and how they have impacted your life! I have been going through a mourning process and I would like to talk to like minded people who would like to share your stories, fears, anxiety, or any other topic that we can all show our support and our love for our country and how to come to terms with the election outcome. Though positive and support we can voice our concerns and how we can continue to try and understand and how to move forward. To have our voices heard and things we can do to show that love, compassion, and humanity still exists after the ugliness this election put us through! I'm having a tough time and thought maybe their were others that would like to come together and support one another!"
803,Let's keep tabs on the ever-encroaching Belmont Government and their ongoing plans to expand bloated government and cronyism at our expense. THERE IS STRENGTH IN NUMBERS.
807,"SPARC (the South Peninsula Area Republican Coalition) usually meets on the third Wednesday of each month at 6:00 p.m. at the Fremont Hills Country Club in Los Altos Hills. Our notable speakers have included Carly Fiorina, Jim Brulte, Neel Kashkari, Harmeet Dhillon, Tom Campbell and many others. Please feel welcome to learn more and register by going to www.sparc1.org."
809,"From ""Healing After the Election,"" we are now ""Political Action//Political Healing""—with the intent of bringing diverse people together to try to make sense of the political climate through talk and action. I know that I am scared, shocked, and still in need of some healing after the election, but I also don't want my fear to prevent me from standing up and making my voice heard. Join us if you want a safe environment to express your fears, but also want to find your own style of activism in this difficult times. We generally meet bi-weekly and have events ranging from discussing political events to attending protests and talks. Come say hi! "
811,"Meet other people interested in seasteading (homesteading the high seas) to talk, network, and brainstorm.  Seasteaders believe that it's time to stop arguing about political systems and start trying them out on a small scale, most likely on floating platforms in international waters.  Learn more at "
812,"Interested in human rights and social justice? Unsure as to the direction of our political, social and economic institutions?
And are you looking for fellow humans to meet and encourage learning and help inspire change?
In this book club, we encourage each other to learn more, discuss ideas, challenge each other and teach each other. Together we explore nonfiction, memoir and fiction books that we collectively choose. We may also follow up our book club meeting with a tea or a beer down the street.
We meet in cafes or bookstores in the Mountain View/Palo Alto area.  Our go-to for the monthly book meeting is Books Inc, 301 Castro St, Mountain View- their staff have been very accommodating!  You can buy our monthly books from our book club webpage on their website, 
The environment we hold for our discussions is open and compassionate. Recognizing and honoring the different beliefs and political viewpoints, and seeking best to understand and explore. Six principles for dialogue:
6 principles common to most dialogue and circle groups guide the conversations:  . Suspend judgment as best you can  . Respect one another  . Seek to understand rather than persuade  . Invite and honor diversity of opinion  . Speak what has personal heart and meaning  . Go for honesty and depth without going on and on
Let's get Inspired!"
815,"This meetup is for women to experience their power when we all come together. No experience is necessary just a willingness to be open and to learn from each other. 
This is an important time in human history and there is an urgent need for women to gather and organize. The Worldwide Women’s Circle is an international movement which utilizes the ancient tradition of the women’s circle. We offer women the gift of community and help each one become the kind of leader the world needs now. Behind this mission is a deep desire to support women who are making a difference in the world.
This group is facilitated by LeahRose, the founder of the Worldwide Women's Circle, and coach and mentor for women in their leadership. LeahRose grew up in Pacifica, left for 15 years and then came back. She wants to create community here that nurtures women in so many ways!"
816,"Are you worried about the direction this country seems to be taking? Do you wonder what you can do to contribute to a more fair, inclusive, and equal society? Are you itching to do something? Then join the FAIR Money citizen research and storytelling collective to talk about building a future we want to live in!"
817,"Join members of the Silicon Valley tech community eager to apply their skills to effect change. 
Enjoy fancy drinks and optimistic conversation. 
Let's come together to use our skills and expertise to help build a better future for America!
 
"
819,"Hello Feminists,
Everyone who is interested in learning about, talking about and/or meeting people who care about feminism and gender equity is welcome. 
We recognize that each of us will have a different perspective to add to discussions. No one person's opinion or perspective is the ""right"" one. We recognize that hearing different perspectives will add to our own pool of knowledge.
The books we read are resources. We also talk about other subjects related to feminism and gender equity.
This is also a place where you can share your radical ideas. When a member wants to share an idea or observation that feels vulnerable to share,  that member can ask beforehand to be listened to only. Other members then will not share their different opinions at that time and instead be a witness to the courage of that member.
 "
822,"This group is for people who use the Sunnyvale Community Center at 550 E. Remington Drive, and would like to meet others for activities here. This group is for Meetups in and around the Community Center and other City of Sunnyvale facilities only. The Community Center has a wide variety of classes, performances at Sunnyvale Theatre, activities at the Senior Center and events of all kinds."
823,"The Democratic Club of Sunnyvale seeks to be an active and welcoming group that promotes progressive, Democratic values and positions. We provide a welcoming group for those in the Sunnyvale, CA, area to meet and promote Democratic causes. Join us to meet other people in this major Silicon Valley city where you can make the most use of your Democratic ideas and energy! Check out our website at ."
833,"The goal of the Basic Income Guarantee is to create income sufficient to cover basic needs, given directly to individuals, universally and unconditionally. This simultaneously abolishes poverty, eliminates complicated bureaucracies, grants economic security in an age of increasing workplace automation, and frees individuals to engage in work of their own choice.
This group is for anyone interested in helping to push this idea into reality."
839," 
We at the HomeSharers Democratic Club want to work with the San Francisco community to influence the Democratic Party policy on issues relating to home sharing, short-term rentals and the sharing economy. We aim to organize the home sharing community to work politically to bring about fair and reasonable laws and regulations concerning home sharing and the sharing economy and for the promotion of the welfare and well being of home sharing hosts and their guests.
"
843,"The Brownie Mary Democratic Club of San Francisco stands for the humane and fair treatment of medical cannabis patients and aims to protect jobs and further the successful medical cannabis industry as it exists in San Francisco. We support safe and affordable access to medical cannabis and actively work to reform local, state and Federal laws pertaining to cannabis."
847,"This group is for JS people who are interested to work on side projects at the intersection of politics and technology.  It would be great to get people to share the ideas and to help each other use JS technologies in various public/politcal sectors.  We also plan to reach out to organizations that are looking to developers and have them talke a bit about what kind of technological needs they might be experiencing.
If you or anyone you know are interested in participating or sharing your experiences, please join our group. Novice, experts on either client or serverside javascript designers and developers welcome!!!"
848,How to thrive in this political climate. You may be wondering how to overcome negative thoughts swirling around regarding the political arena. This group focuses on empowering each person to celebrate and find your unique voice and creative stance during this next six months. Once a month. $18-20 dollar donation.
850,"Welcome! We're a community of residents in San Francisco District 6 (which includes SOMA, South Beach, Mission Bay, Tenderloin, and Treasure Island) who are involved in our neighborhood. 5 of us started the group several months ago (see all our posts at  and we decided to put our group on Meetup as well.
District 6 is represented by one of the city supervisors and has generally had low voting turnout and civic engagement. Therefore, a smaller group of longtime residents has generally influenced policies, while the influx of newer residents are generally younger millennials are busy with work and less engaged. 
We’re here to change that! It’s time for the younger and newer residents of SOMA to advocate for ourselves and to ensure that our collective voice is heard. The causes we champion are:
- more housing of ALL types (we're part of SF YIMBY Action -- ) - pro-offices and effective transit - tackling theft and crime - having a clean neighborhood
If you’re new to SOMA and are interested in getting involved and meeting others in the neighborhood, it’s easy to do so! Come out to one of our biweekly meetups and happy hours and we hope to meet you soon!"
851,"This is a group for anyone interested  the study, promotion of, have interest in, and actively preserving Tibetan culture in all its aspects; educate the general public in matters pertaining to Tibet and the Tibetan people; and to provide assistance to Tibetans. We  believe in universal human rights, social justice, human dignity and peace. The public is invited join us."
854,"We are a coalition of workers in and around the tech industry, labor organizers, community organizers, and friends. Find out more at . 
"
855,"For all those who are looking for politically & socially inspired events with other like-minded conservative individuals, you're home.
We include conservatives, moderates, tea partiers, libertarians, patriots and those who are in need of a different kind of ""hope & change.""
Join us and make some new friends!"
899,"In Palo Alto in the 90s was born the first experiment with cryptogovernment. Two decades later emerged Bitcoin, the first successful digital currency. We continue this by discussing how innovations in cryptographic technology can facilitate a greater degree of human freedom as part of the second wave of blockchain innovation. This meetup is open to anyone interested in discussing these topics or helping facilitate human freedom in some way. We will have a monthly meeting to touch base and allow leading innovators in the field to present on what they are doing."
904,"This is a meetup of activism for continuing the vision of Ron Paul for building a grass-roots movement at the local level to preserve liberty.  We support liberty, sound money, free markets, constitutional limited government, a humble foreign policy, and the continuation of The Ron Paul rEVOLution. All are welcome who wish to volunteer their time to activate themselves to this worthy cause.........The cause of liberty!"
905,"We call for all progressive forces to join our community and discussion group. We will host various events, study circles, dinner nights, book club and much more depending on the likes of our members.
Everybody is welcome! Hardcore communists, rebellious anarchists, disciplined or democratic socialists, curious left-leanings of all kinds, shapes or forms. Members of all parties, movements, ages, genders and sexual orientations are accepted and warmly welcomed! Come join us in the sun!"
908,"This march is to support victims of gun violence, we hope the march and rally will inspire concrete legislative outcomes. School safety is not a political issue. There cannot be two sides to doing everything in our power to ensure the lives and futures of children who are at risk of dying when they should be learning, playing, and growing. The mission and focus of March For Our Lives is to demand that a comprehensive and effective bill be brought before Congress to address these gun issues."
911,"Meet Libertarians near you! Come to a local Libertarian Meetingto share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in libertarianism is welcome!
Please check the calendar for upcoming meetups. We generally meet at least once a month for our social and business meeting, plus other events.
 
"
916,"This meetup is for socialist who want to make a change to this destructive capitalist society; that is slowly killing the working class,with the increase in rent,job outsourcing and the endless wars that this capital system continues to produce."
917,"This group is for people who can envision a united world under a world government. Humanity will eventually establish a world government one way or another. It will either be formed before WW3 - the hard way, or it will happen after WW3 when humans will realize what fools they've been."
920,"Calling fellow Democrats from the East Bay, join us for conversation, refreshments and organizing. Our motto is to Engage, Educate and Elect!"
927,"Help the Libertarian Party build a strong county central committee organization in Napa Valley!  We're kick-starting a local group to connect liberty-loving activists with each other to organize events at city council meetings, county supervisor meetings and other local political events to shake up the dominant power structure and make sure our personal freedom and property rights are recognized and respected by local politicians.  If they're not, then we will work together to elect our own candidates to local office to make sure the Constitution is upheld in Napa County."
928,"Meet Libertarians near you! Come to a local Libertarian Meetup to share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in Libertarianism, agorism, voluntaryism or anarchism is welcome!"
936,"Meet and connect with community on a variety of social topics - public transportation, incarceration, energy, +more - in a new and creative way. We create apparel designed around social issues, and organize meetups for community to come together and discuss these topics. Engage with passionate individuals through social impact design."
944,"Hang out group for vegan/vegetarian young adults ages 18-25 in the Bay Area!
Let's get together and go on walks, go to vegan/vegetarian restaurants, see movies, go to cafes.. just generally hang out and possibly meet some cool like-minded people. :)
There are other veg*n groups on here for people 25+, I'm trying to create one for the younger side of young adults. Please respect!
*In an ideal world it would be unnecessary to state this but our world is far from ideal-people of all sexual orientations/races/expressions of gender/etc are welcomed."
949,"What if the growing wave of interest in the 2018 elections could coalesce around climate, science, and truth? Do you believe climate change is the greatest challenge facing humanity? Then JOIN. Let's work together to make 2018 a ClimateElection. At every town hall and campaign event, let's see attendees with their heartfelt messages. And let's hear candidates answer questions about climate change. 
Our goal is to MAKE 2018 A CLIMATE ELECTION.  We’re starting first with a Bay Area Climate Election Action Group to show how this campaign can look locally. We hope to spread the idea nationally, to races at the federal, state and local levels.  We dream of making what all incumbents and contenders say and do about climate a factor for voters everywhere. 
We aim for diverse people & groups & campaigns to start now to include the ClimateElection theme in what they've planned from now until Election Day. We’re NOT starting a new organization. In fact, we hope an existing coalition or new collaboration agrees on one unifying message and slogan. If it's ours, we can hand over 
CREATIVE? Help us make this effort go viral. We're looking for help developing messaging packages: slogans, memes, tweet samples, videos, buttons, bumper stickers, lawn signs, t-shirts. We’re excited about displaying ideas and concepts and running regular contests for the best ideas and designs.
LIKE ORGANIZING? Help work on this group and reach out to local chapters of other organizations and people around the country. We want our idea and message to used by anyone anywhere.
GOT SKILLS? Instagram-Meetup-Indiegogo-Slack-Twitter-Facebook-Wordpress-NationBuilder-UI-Mediawiki-fundraising-new-and-old-media.
LIKE RUNNING THINGS? If you or someone you know is passionate and has the time, we dream someone will step up to be a half-time ClimateElection Project Director from now until at least November. 
See "
959,"Progressive Singles of the SF Bay Area is a group for singles who are also progressive to find kindred spirits. “Progressive” spans the entire spectrum of philosophy on the left for folks who care about the world, value diversity, and want to make a difference. If you are interested in politics, issues of peace and social justice, sustainable living and energy, the environment, animal advocacy, and other international, regional, and local issues, this group can be a home for you. We are about living our beliefs while having fun and spending time with interesting people.


 Our activities range from purely political to purely social and every combination in between. Each month, the group holds Progressive Talk meetings to discuss the latest political issues and news stories. There are also meetups to explore and learn about progressive issues (through activities like lectures and film screenings), to do some political activism (with specific issues or elections), and to enjoy life (with things such as concerts, hikes, and many more).


 All members are welcome to suggest events for this group, which can become official meetups once at least three people RSVP for the event. We only ask that the event has a specific date, time, and location; identifies a host for the event (yourself or another member of this group); and not involve any business or commercial activity benefiting the event host.


 Whether you're at the center, moderately left of center, or even far left on the political spectrum, Progressive Singles of the SF Bay Area is a group that provides a mix of intellectual stimulation and exciting fun for the liberal and progressive mind.
 "
964,"Xennials and Gen Xers too. This is a group for like-minded Marin citizens (women and men, professionals, home school parents, moms) who want to come out of the woodwork, meet each other socially, and move the civic discussion in our direction. Marin?! Yes Martha, there are Republicans and like-minded conservatives who live here in this deep blue county. We just need to find each other. This is a group where we can make that happen. -Affiliation with Marin Republican Women Federated"
968,"Meet local libertarians from the incorporated cities of Belvedere, Corte Madera, Fairfax, Larkspur, Mill Valley, Novato, Ross, San Anselmo, San Rafael, Sausalito, and Tiburon plus the unincorporated parts of the county. Official Meetup Group for the Libertarian Party of Marin. For more information, go to "
970,"We are eager to find and meet other people who want to discuss issues that impact our daily lives. Hope to develop action plans and solutions to shift current thinking in the county, state and nation back towards those goals. We've been too complacent, too hidden and too removed from our democratic process. We are awakened. Our time is now to gather together and mobilize to turn the future back towards fiscal sanity. WE DO NOT CONTROL DISPLAY of the other nearby MEETUP GROUPS listed TO THE LEFT, and we neither endorse nor oppose those groups. We are a soverign entity dedicated to promoting good old-fashioned American principles."
